Neighborhood size	kNN accuracy	AKNN accuracy (A = 0.0)	Cumulative fraction (A = 0.0)	AKNN accuracy (A = 0.5)	Cumulative fraction (A = 0.5)	AKNN accuracy (A = 1.0)	Cumulative fraction (A = 1.0)	AKNN accuracy (A = 1.5)	Cumulative fraction (A = 1.5)	AKNN accuracy (A = 2.0)	Cumulative fraction (A = 2.0)	AKNN accuracy (A = 2.5)	Cumulative fraction (A = 2.5)	AKNN accuracy (A = 3.0)	Cumulative fraction (A = 3.0)	AKNN accuracy (A = 3.5)	Cumulative fraction (A = 3.5)	AKNN accuracy (A = 4.0)	Cumulative fraction (A = 4.0)	AKNN accuracy (A = 5.0)	Cumulative fraction (A = 5.0)	AKNN accuracy (A = 6.0)	Cumulative fraction (A = 6.0)	AKNN accuracy (A = 7.0)	Cumulative fraction (A = 7.0)	AKNN accuracy (A = 8.0)	Cumulative fraction (A = 8.0)	AKNN accuracy (A = 9.0)	Cumulative fraction (A = 9.0)
111.0	0.8720717140270694	0.8892274403303084	1.0	0.9082787900229966	0.9985206773972753	0.918463375237025	0.9431675167251772	0.9381101540067868	0.845863416572829	0.9571764979504026	0.7594665606853459	0.9701914851615451	0.6710825550330087	0.9827547084184253	0.5838246009140889	0.9931813150321009	0.49866419376918153	0.9972212027473392	0.42112119405621423	0.9998203216242925	0.24576626702876953		0.0		0.0		0.0		0.0
156.0	0.8653816431520611	0.8892274403303084	1.0	0.9081686778941785	0.999006425117573	0.9132989428392977	0.9544721909430129	0.9277197077329004	0.8702832792387009	0.9467206204687236	0.7857190170232496	0.9610520354873214	0.7018171380627498	0.9738242179187061	0.6225077830032457	0.9844923673370487	0.5467311386368152	0.9931056971165044	0.4739793778013292	0.999019800039208	0.33788169835066567	0.9998946148171567	0.20951182354110087		0.0		0.0		0.0
218.0	0.8574551235344771	0.8892274403303084	1.0	0.907934264004241	0.9995804906051975	0.9085769221965344	0.9645845753019364	0.9186453293636025	0.8899119030270914	0.9346195652173913	0.8125234594069461	0.9497514685946679	0.7329270716036299	0.9637879248084776	0.6542359409154137	0.976394767951798	0.5789892031529443	0.9850179180518975	0.5113819522642468	0.9968026027935154	0.39361020953390297	0.9993144946302079	0.28988099180852706	1.0	0.1817579651586408		0.0		0.0
305.0	0.8484025523834757	0.8892274403303084	1.0	0.9078842756183746	0.9997571261398512	0.9047219640468797	0.973990417522245	0.9099849448788305	0.9092755735135016	0.9252689735388194	0.8352432050517763	0.9414423609693505	0.7571261398511846	0.9544012944983818	0.6822547525998542	0.9650880937737419	0.6102978516703098	0.9750853519752886	0.543242586827405	0.9882545194566439	0.4323596299485549	0.9979920979338041	0.3408845024397783	0.999297629499561	0.25148484246318253	0.9998699440759526	0.16976882824402198		0.0
427.0	0.8416462431829723	0.8892274403303084	1.0	0.9078302345095615	0.9998896027908415	0.9018293094525572	0.9812766333267094	0.9027976360690115	0.9265416970258992	0.9154730372618098	0.858603254509726	0.9309703070806192	0.7830032456779492	0.945697551249299	0.7087059239142435	0.9567901234567902	0.6366827846592038	0.9651563892872369	0.5696716786999625	0.9775651757952643	0.46157073149190786	0.987959479015919	0.3814223576427988	0.9973588892242681	0.2925967631538275	0.9995989572889513	0.22022035282948046	1.0	0.15645492481950057
598.0	0.8347132984478153	0.8892274403303084	1.0	0.90781425953322	0.9999558411163366	0.9001900503074344	0.9875030359232518	0.8981509761999859	0.9397672826830937	0.9081750868886315	0.8766863173698969	0.9223856880633408	0.8059217062992647	0.9350586963701324	0.7353999690887815	0.9459738014495644	0.6641054514141882	0.9552741678699692	0.5963436444326687	0.9685700031747472	0.4868296129473847	0.979406518566564	0.40849175332847587	0.985574377977766	0.333664524960809	0.9915370148743375	0.2582853105473494	0.998147719379486	0.19072221854231525
837.0	0.8191031330727959	0.8892274403303084	1.0	0.9078183303526087	1.0	0.8987220589544929	0.9917202093131086	0.8944197256210604	0.9527720739219713	0.9027400641816835	0.8944381886025922	0.9154730090860502	0.8262127133426067	0.9271298811297058	0.7559780088759356	0.9379615952732644	0.6875979775231282	0.9457295373665481	0.6204323154710649	0.9552251632863527	0.5138327703075666	0.9631589660085488	0.43390519087677465	0.9761904761904762	0.35609723786182684	0.9831068110266452	0.28754057097436575	0.9862185207217926	0.22269325031463205
1171.0	0.8033604910467863	0.8892274403303084	1.0	0.9078183303526087	1.0	0.898092425218183	0.9942593451237552	0.891984303646419	0.9621558367004482	0.8981985044187627	0.9094080501644919	0.9096341527060174	0.8461283698748095	0.9203291246985388	0.7781899273586363	0.9315895998754476	0.7090812744253825	0.9395904085623135	0.6436378088361926	0.948794185662372	0.5346757633967013	0.9526109849765712	0.45706652535823894	0.9598792312605238	0.38027422666754984	0.9621142249024477	0.3112097326179594	0.9695502948165097	0.25088869753372633
1640.0	0.7975535978450464	0.8892274403303084	1.0	0.9078183303526087	1.0	0.8977428938849719	0.9958269854938068	0.8900111721653481	0.9683822392969905	0.8957553058676654	0.9196529111744055	0.9058790349460298	0.8611644697622044	0.9156967076820751	0.7967145790554415	0.9267643947408191	0.7304983330021417	0.9350097866834755	0.6655406151332495	0.9438891322527976	0.5544368638360823	0.9472631725805701	0.4747742377072708	0.9524785378011631	0.39864432227153296	0.9538090775204178	0.32982270208209136	0.9563977180114099	0.27091475127508774
2296.0	0.7903556998079089	0.8892274403303084	1.0	0.9078183303526087	1.0	0.8971701873256277	0.9971517520037093	0.8874861170924092	0.9741228941732353	0.8917383657365594	0.9289704356273873	0.9020541526303791	0.871718442957762	0.9126526597633945	0.8081296504824358	0.9239774792219012	0.7411847828486896	0.9324522760646109	0.6766244949327681	0.9429359437516995	0.5683910710737232	0.9471112518662625	0.48802190280629704	0.9522557802692989	0.4115828751849153	0.9529662935886654	0.3412819323927491	0.9543652336157973	0.2840078602812921
3214.0	0.7744364222472456	0.8892274403303084	1.0	0.9078183303526087	1.0	0.8962917099705902	0.9984985979554437	0.8827815761065131	0.9817403016051754	0.8829988995293732	0.9429908811905235	0.8913718187461204	0.8892495197721402	0.9030474613391737	0.8266763816210726	0.9175407925407926	0.7577664436643041	0.9286079672613339	0.6906007816122408	0.9423268274014542	0.5769358150625952	0.9471586583672921	0.49305601554392703	0.9522796190881524	0.41502726811066215	0.9531289910600256	0.34576405908458635	0.9547858073415587	0.28811463646199026
